dep_name|owner_name|owner_surname|date_owned|is_efficient|serial_number|issue_date|issue_desc|repair_fee|mnf_name|class_|class_sm|activity|machine_desc
Asset Management|Phyllis|Welch|2011-10-25|0|OD60V3S68T36XO7191BI7AV4|2016-10-03 00:58:03|aliquet. Phasellus fermentum convallis ligula. Donec luctus aliquet odio. Etiam ligula tortor,|82|Borland|151|K|11:23:17|rutrum urna,
Finances|Autumn|Gilbert|2010-11-18|0|BL06O4O44H08PN8617WU9TN9|2016-10-20 06:06:51|laoreet ipsum.|117|Google|135|O|18:32:02|dictum
Legal Department|Jesse|Gilmore|2009-09-29|1|WJ12B2C37K82PZ3674JK4BU9|2016-10-14 16:58:58|imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus. Donec egestas.|44|Lycos|99|E|10:07:55|dolor.
Research and Development|Uriah|Buchanan|2011-05-30|0|QT24Q2N56H98KZ9858TO1DP2|2016-10-13 23:27:36|lorem ac risus. Morbi metus. Vivamus euismod|92|Chami|48|Q|06:34:49|Nunc
Sales and Marketing|Molly|Wheeler|2010-10-20|1|XW23G3C19M36RX2834XL1CS5|2016-10-12 17:54:46|iaculis aliquet diam. Sed diam lorem, auctor quis, tristique ac,|30|Apple Systems|237|T|17:00:21|pretium aliquet, metus
Public Relations|Mercedes|Kirby|2006-07-03|0|CL37U6S20R17GU4023JQ7UC8|2016-10-18 12:35:40|semper. Nam tempor diam dictum sapien. Aenean massa. Integer vitae nibh. Donec est|53|Lavasoft|13|M|01:12:38|ornare, facilisis eget, ipsum. Donec
Accounting|Daquan|Coffey|2005-04-27|1|LB00S1E04J19JL2887QQ9HF1|2016-10-14 12:17:59|ultricies ligula. Nullam enim. Sed nulla ante, iaculis nec, eleifend non, dapibus rutrum,|87|Finale|200|T|14:08:01|purus
Customer Service|Gretchen|Daugherty|2012-06-22|1|TL31R9T05V82VA4105EQ2EN1|2016-10-11 16:09:10|lobortis risus. In mi pede, nonummy|88|Chami|28|Y|07:21:01|dolor, nonummy ac, feugiat
Research and Development|Solomon|Steele|2013-02-19|1|NF85S7L08X17RC7817RJ3ST4|2016-10-20 04:22:38|dui lectus rutrum urna, nec luctus felis purus ac tellus. Suspendisse sed dolor. Fusce mi|107|Apple Systems|200|R|05:50:37|bibendum. Donec felis
Sales and Marketing|Felicia|Stark|2011-01-23|1|OT76E2N07G84TG2051ZQ3GJ3|2016-10-10 20:00:55|malesuada id, erat. Etiam vestibulum massa rutrum magna. Cras convallis convallis dolor. Quisque tincidunt pede ac|132|Lavasoft|75|M|19:44:33|orci lobortis augue
Customer Service|Lacota|Nixon|2015-08-09|0|WO79C3G10J45YM2756QP5XW8|2016-10-17 02:15:49|Cras pellentesque. Sed dictum. Proin eget odio. Aliquam vulputate|33|Adobe|21|E|05:25:09|tincidunt
Accounting|Slade|Hughes|2014-01-19|1|DA91M5P12C23EI0502NM0BU7|2016-10-08 17:34:25|pretium aliquet, metus urna convallis erat, eget tincidunt dui|75|Lavasoft|130|X|09:31:40|montes, nascetur ridiculus mus. Donec
Human Resources|Jonas|Oneill|2006-11-08|0|EI38D7C54O03LS5398NR6TM2|2016-10-08 22:07:53|egestas. Sed pharetra, felis eget varius ultrices, mauris ipsum porta elit,|72|Borland|9|E|16:25:35|sed dui. Fusce
Advertising|Tana|Cannon|2002-03-14|1|KQ92A5Y57A58LA7485JE0YG0|2016-10-13 08:29:27|nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida non,|133|Lavasoft|137|T|06:53:07|euismod in, dolor. Fusce feugiat.
Customer Service|Patricia|Thornton|2013-11-08|0|KF90U6I38I85EV3729ZC6GW6|2016-10-17 21:32:20|massa. Mauris vestibulum, neque sed dictum eleifend, nunc risus varius|100|Macromedia|78|S|23:55:30|purus,
Advertising|Vladimir|Good|2016-07-16|1|AY69P1P60B97BJ3461SX0RL7|2016-10-18 08:09:08|non, dapibus rutrum, justo. Praesent|145|Borland|38|J|22:52:00|tempus
Payroll|Rylee|Rhodes|2015-04-13|1|GG82T7N81V05XF3387VE0KD7|2016-10-14 06:33:39|malesuada augue ut lacus. Nulla tincidunt, neque vitae semper egestas, urna justo faucibus|6|Yahoo|34|S|14:16:16|a,
Tech Support|Hector|Parsons|2004-04-19|1|CE76Y5Y22K39MK8876YY5BN6|2016-10-04 08:24:22|augue, eu tempor erat neque non quam. Pellentesque habitant morbi tristique senectus et netus et|24|Macromedia|75|P|19:57:59|diam.
Media Relations|Fleur|Franklin|2006-04-05|1|WQ01P9C41G77KN7415CQ2KE4|2016-10-13 01:37:34|sociis natoque penatibus et magnis dis|82|Adobe|101|H|17:17:40|mollis dui,
Human Resources|Kaseem|Herrera|2007-09-21|1|YH33J4T49J82TR0989RF4QY2|2016-10-18 12:27:25|sed tortor.|95|Finale|246|B|08:41:18|urna. Nunc quis arcu vel
Advertising|Chantale|Gibson|2015-05-07|0|EU55Q2H24Z15WX2859SV7CU5|2016-10-08 16:49:41|eu metus. In lorem. Donec elementum, lorem ut aliquam iaculis, lacus|60|Google|244|O|08:35:42|augue,
Finances|Ann|Jensen|2015-12-06|1|FR29K3A37N33NE7787ZG6XS2|2016-10-08 10:01:40|et, eros. Proin ultrices. Duis volutpat nunc sit|105|Borland|164|Y|02:48:42|enim. Mauris quis turpis
Customer Service|Moana|Pearson|2000-08-13|0|TW90Z1S17D77WX8488ST0RO9|2016-10-19 00:21:09|quam. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam|109|Yahoo|38|E|23:43:22|purus sapien,
Research and Development|Jenna|Moran|2004-04-11|0|IY40G7Z21R43BL3283IA0KV2|2016-10-11 01:50:02|vel nisl. Quisque fringilla euismod enim. Etiam|56|Sibelius|12|W|20:11:44|non,
Customer Relations|Prescott|Lee|2013-11-27|0|CW39G5M69F68GU1613KY5DC5|2016-10-08 10:13:43|ultrices. Vivamus rhoncus.|8|Google|43|Z|07:23:50|sem eget massa.
Advertising|Desirae|Burt|2016-05-24|1|ER13E7D10V20JS8077CG6QV5|2016-10-06 22:11:20|hendrerit id, ante. Nunc mauris sapien, cursus in, hendrerit consectetuer, cursus et,|40|Borland|84|Q|01:18:21|dis parturient montes, nascetur
Legal Department|Anika|Mays|2000-05-15|0|PP13Z3U56J82ZN6426QB9LO1|2016-10-16 05:01:34|tincidunt. Donec vitae erat vel pede blandit congue. In scelerisque scelerisque dui. Suspendisse ac|132|Finale|218|J|22:57:42|tempor erat neque non quam.
Human Resources|Noel|England|2014-01-05|1|HR79K7Z83R76QP5286MT8TC6|2016-10-17 13:51:35|a, auctor non,|13|Chami|231|A|15:13:15|rutrum, justo. Praesent luctus.
Customer Service|Kevyn|Oneal|2005-04-04|1|RZ85G2H45H36YY2176CY9WY3|2016-10-13 05:26:00|aliquet magna a neque. Nullam|146|Lavasoft|109|T|07:54:36|ligula. Aliquam erat volutpat. Nulla
Quality Assurance|Keiko|William|2014-02-01|1|CH25E1F35L73ID9363EI7WV0|2016-10-19 07:49:07|pede, malesuada vel, venenatis vel, faucibus id, libero. Donec consectetuer mauris id sapien. Cras dolor|59|Lavasoft|111|W|00:29:33|ac metus vitae velit egestas
Payroll|William|Mckee|2004-09-21|1|MW32Q1H63U01QU1497RF7QK5|2016-10-10 20:53:17|Sed auctor odio a purus. Duis elementum, dui quis accumsan convallis,|145|Finale|70|T|00:38:10|ipsum. Curabitur consequat, lectus sit
Quality Assurance|Erich|Walsh|2015-10-22|0|CV92A9Q56H74DR9004TB0ES1|2016-10-08 03:35:23|neque tellus, imperdiet|101|Sibelius|142|U|05:13:14|et magnis dis
Asset Management|Tiger|Lamb|2002-05-11|0|MW89N3K73N31BA5570LG6KY8|2016-10-13 22:27:03|Lorem ipsum dolor sit amet, consectetuer adipiscing elit.|16|Apple Systems|6|C|02:03:52|Quisque nonummy
Legal Department|Colette|Langley|2008-05-07|0|WR63U6F23J34QK5404JC5XN5|2016-10-02 04:02:49|sodales purus, in molestie tortor|59|Finale|146|Y|03:31:19|Sed eget lacus. Mauris non
Asset Management|Abdul|Chang|2012-03-04|0|WT93S3L89Y49WR2436JK0WJ0|2016-10-12 04:28:26|interdum ligula eu enim. Etiam imperdiet dictum magna. Ut tincidunt orci quis lectus. Nullam suscipit,|87|Google|59|N|01:33:20|eget odio. Aliquam vulputate ullamcorper
Accounting|Benedict|Lancaster|2005-12-14|0|VZ75V9O19O34LM6602KY1HS5|2016-10-16 16:17:24|dictum eleifend, nunc risus varius|64|Microsoft|6|H|00:54:45|tortor nibh
Public Relations|Roanna|Harrison|2004-06-05|0|XT17R9O18J11QR8576TF3BY8|2016-10-13 18:17:23|Fusce diam nunc, ullamcorper eu, euismod ac, fermentum vel, mauris. Integer sem elit, pharetra ut,|104|Macromedia|95|W|05:16:43|elementum purus, accumsan
Accounting|Jordan|Church|2011-12-22|1|XW84H3Y30G79RS4927ZO1JY6|2016-10-06 07:33:13|eu dolor egestas rhoncus. Proin nisl sem, consequat nec, mollis|6|Cakewalk|63|K|14:09:08|enim. Curabitur massa.
Sales and Marketing|Desirae|Sheppard|2002-12-21|1|SM89O2P58H82WS3867OM6MS5|2016-10-04 05:03:38|est ac mattis semper, dui lectus rutrum urna, nec luctus felis purus ac tellus. Suspendisse sed|98|Finale|88|X|13:03:05|Mauris vel turpis.
Quality Assurance|Mary|Parker|2011-12-09|0|ZE01Q5N66U05JG1224ZX2JA6|2016-10-10 02:21:16|risus. Donec egestas. Aliquam nec|91|Apple Systems|56|V|18:46:38|pretium et, rutrum non,
Sales and Marketing|Francesca|Calderon|2005-07-12|0|FW51T6O14P42FZ3086HT9UY2|2016-10-09 12:16:52|odio a purus. Duis elementum, dui quis accumsan convallis, ante lectus convallis est, vitae sodales|93|Yahoo|64|Z|21:57:40|ipsum sodales purus,
Advertising|Clare|Rasmussen|2007-02-06|0|YT61W0B55J75XF5773HO8TD3|2016-10-11 02:13:44|quam. Curabitur vel lectus. Cum sociis natoque penatibus|49|Macromedia|106|Y|08:37:44|adipiscing ligula. Aenean gravida
Sales and Marketing|Eve|Carlson|2012-09-02|0|DY95Y6D97F47XS8087OE2XH8|2016-10-12 02:48:11|elit, a feugiat tellus lorem eu metus. In lorem. Donec|13|Lycos|53|N|01:39:37|nunc est, mollis non,
Research and Development|Slade|Kent|2013-01-02|1|PT92Q0M62N87HX9900JV2AL8|2016-10-08 15:45:53|parturient montes, nascetur ridiculus mus. Donec dignissim magna|26|Sibelius|98|L|02:03:16|placerat, orci lacus vestibulum lorem,
Media Relations|Jesse|Watkins|2012-04-17|1|HC20L2Z39B73WJ7691NX4RW1|2016-10-17 08:23:59|eget, ipsum. Donec sollicitudin adipiscing ligula. Aenean gravida nunc sed pede.|87|Yahoo|52|C|06:19:37|dapibus quam
Media Relations|Germaine|Glass|2010-12-04|0|YL67Q7V80V01FB6270OA4IY6|2016-10-16 14:40:56|nec luctus felis purus|30|Google|55|L|20:29:14|eget massa.
Finances|Kato|Mcconnell|2007-08-14|1|GJ86X5T39X53HY8261KX4YM7|2016-10-18 06:02:17|faucibus. Morbi|71|Lavasoft|89|E|01:03:32|vel,
Legal Department|Samantha|Cash|2014-01-20|0|FF45Y7I34C76HI6324PP0JV1|2016-10-12 20:27:18|at augue id ante dictum cursus. Nunc mauris elit, dictum eu, eleifend nec, malesuada|72|Apple Systems|43|W|01:42:05|luctus
Payroll|Griffith|Blankenship|2012-09-04|0|EH23B0K11V20WS2657TX8YR7|2016-10-07 23:33:53|Cras lorem lorem, luctus|118|Sibelius|94|P|22:03:11|dolor
Advertising|Rylee|Ferguson|2010-03-19|0|GB39F5T79R14RJ8926ZU4VJ8|2016-10-03 01:22:22|cursus a, enim. Suspendisse aliquet, sem ut|75|Altavista|161|X|18:29:40|facilisis eget,
Quality Assurance|Ciaran|Pittman|2013-12-04|0|DZ04E1H19B78IB0435EQ8IS4|2016-10-07 00:58:53|sit amet lorem semper auctor. Mauris|31|Lycos|77|Y|15:13:57|et
Sales and Marketing|Plato|Frost|2013-11-10|0|VV00U0I02O32QY2706NH6BX3|2016-10-07 09:30:18|neque|47|Borland|93|O|14:38:48|elit. Curabitur sed tortor. Integer
Quality Assurance|Levi|Clemons|2003-01-02|1|YQ32C6S88K23KG8604OJ2DS9|2016-10-06 08:00:12|enim non nisi.|86|Lycos|251|O|21:30:18|vitae, erat. Vivamus
Research and Development|Dieter|Norman|2012-02-13|0|PH83D3R76W62LB0908VQ0ZJ9|2016-10-19 02:23:16|vitae mauris sit|147|Sibelius|233|M|21:10:16|consectetuer rhoncus.
Customer Service|Alice|Farmer|2013-02-18|1|JJ85T9C87G71PB7933FJ6NK2|2016-10-13 07:57:22|Cras eget nisi dictum augue malesuada malesuada. Integer id magna et ipsum cursus|15|Macromedia|239|A|09:53:46|Proin sed turpis nec
Quality Assurance|Bruno|Figueroa|2007-09-28|0|CG89V3Q56B46RZ6050VG8FN9|2016-10-12 20:44:00|interdum ligula eu enim. Etiam imperdiet dictum magna. Ut tincidunt orci quis lectus. Nullam suscipit,|98|Lycos|115|Y|17:58:04|vitae nibh.
Customer Relations|Remedios|Matthews|2013-02-03|0|QK63E6K51C91KD0435NI2KO5|2016-10-19 09:02:19|Suspendisse tristique neque venenatis lacus.|55|Lycos|233|B|16:59:35|Duis mi enim, condimentum eget,
Public Relations|Patricia|Jennings|2005-08-09|1|AO99Z4M84F75DA7072QA0KR4|2016-10-07 14:44:36|dictum magna. Ut tincidunt orci quis lectus. Nullam suscipit, est ac facilisis|67|Lavasoft|241|Z|15:11:00|tristique senectus et
Human Resources|Gage|Hansen|2014-08-07|0|JS63Z1T64R63DS4382RQ0DV4|2016-10-09 17:51:53|dolor. Nulla semper tellus id nunc interdum feugiat. Sed nec metus facilisis lorem tristique aliquet. Phasellus|74|Chami|57|X|09:34:21|euismod
Public Relations|Perry|Sampson|2013-11-17|1|GH14B7T69N88QE4189YF0SR9|2016-10-18 05:23:30|Donec est mauris, rhoncus id, mollis nec, cursus a, enim. Suspendisse aliquet, sem ut cursus luctus,|105|Cakewalk|213|H|05:25:27|scelerisque,
Quality Assurance|Venus|Craft|2005-03-16|1|DI45X3Q27T00TO5228TW3GF5|2016-10-14 19:20:32|In ornare sagittis felis. Donec tempor, est ac mattis semper, dui lectus|127|Borland|124|Q|17:06:59|id risus
Research and Development|Christine|Harrell|2002-01-24|0|WY80B1M77U23CN5900RI3SV7|2016-10-02 16:16:49|nisi a odio semper cursus.|112|Altavista|105|F|04:08:40|parturient montes,
Customer Relations|Uta|English|2015-08-26|1|CK91O1J10H52QD9567MU8SR7|2016-10-12 06:17:08|euismod et, commodo at, libero. Morbi accumsan laoreet ipsum. Curabitur consequat, lectus|117|Borland|190|U|08:13:59|viverra. Maecenas iaculis aliquet diam.
Public Relations|Darius|Paul|2001-06-28|0|PQ49T4M16B94WH3618GN1RP1|2016-10-14 18:18:46|ultricies dignissim lacus. Aliquam rutrum lorem ac risus. Morbi metus. Vivamus euismod urna. Nullam lobortis|3|Apple Systems|181|F|07:01:26|Nam
Payroll|Zorita|Pitts|2003-05-22|0|YY63D7I70X52YC7333OV5YA3|2016-10-14 12:41:39|consequat dolor vitae dolor. Donec fringilla. Donec|75|Lycos|178|P|12:55:41|eget magna. Suspendisse tristique
Advertising|Salvador|Briggs|2013-08-14|1|AE67Q9H40V16OT3073VH1GT0|2016-10-15 10:38:24|dui.|3|Adobe|95|K|23:50:10|mi,
Tech Support|Griffith|Benson|2015-02-10|0|EN46U3D37Q71VQ3352DJ4DJ3|2016-10-19 14:17:51|Mauris vestibulum, neque|145|Sibelius|108|L|12:14:35|ornare.
Customer Service|Dalton|Mcpherson|2005-11-24|0|QP95G2U09S44VR4121UX1US5|2016-10-16 21:16:04|pharetra. Nam ac|54|Macromedia|158|H|13:44:06|lectus quis massa.
Sales and Marketing|Teegan|Huber|2009-04-06|0|UB76E5T03V66IC5377LC8SH5|2016-10-14 13:14:52|lacus vestibulum lorem, sit amet ultricies sem magna nec|14|Macromedia|150|M|05:39:16|Nunc
Research and Development|Maxine|Travis|2005-03-09|0|OH01H7H05T60WO5578XL2CV8|2016-10-18 03:12:23|ultrices posuere cubilia Curae; Donec tincidunt. Donec vitae erat vel pede blandit congue. In scelerisque|32|Chami|34|J|23:55:40|adipiscing elit. Aliquam
Sales and Marketing|Courtney|Branch|2008-05-17|0|LA86D5Q42F66UQ5912ZO4FC4|2016-10-04 07:55:12|gravida molestie arcu. Sed eu nibh|19|Microsoft|172|M|05:28:40|interdum. Sed auctor
Quality Assurance|Malik|Castillo|2006-11-19|1|TI77E1F60Z35JU6318RP6LF5|2016-10-08 04:12:45|sagittis. Duis gravida. Praesent eu nulla at sem molestie sodales.|136|Lavasoft|106|O|13:01:59|risus. Duis a mi fringilla
Customer Service|Scarlett|Ewing|2007-05-12|0|GV84B4V56E92BT5590WU2UC5|2016-10-10 11:56:02|Cras convallis convallis dolor.|5|Cakewalk|157|R|04:19:24|placerat,
Customer Service|Nathaniel|Branch|2005-07-26|1|SF95V1V28T85WO9572HU3HP5|2016-10-02 08:51:58|rhoncus. Donec est. Nunc ullamcorper, velit in aliquet lobortis, nisi nibh lacinia orci,|124|Chami|66|C|13:27:24|Sed dictum. Proin eget odio.
Legal Department|Graham|Spencer|2013-08-05|1|PZ97R9E11L42HO9012CD4OI2|2016-10-13 15:28:33|eget, volutpat ornare, facilisis eget, ipsum. Donec sollicitudin adipiscing ligula.|104|Lavasoft|164|W|05:35:06|et nunc. Quisque
Asset Management|Maile|Barr|2003-06-15|1|VH19I3A57F15RC9006SD3UU3|2016-10-12 11:48:24|risus odio, auctor|112|Sibelius|165|E|07:32:50|mi enim, condimentum
Asset Management|Buckminster|Simmons|2004-07-06|0|WH47S8X17V79HC2745WM0HI3|2016-10-08 13:34:31|ornare lectus|90|Lycos|196|I|11:48:12|semper cursus. Integer mollis. Integer
Finances|Odessa|Gutierrez|2014-09-30|0|RR99S3E69D42BN6235YC8UD4|2016-10-07 02:35:03|faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus ornare. Fusce mollis. Duis sit amet diam|61|Adobe|226|H|19:36:54|lectus ante
Public Relations|Keane|Mays|2000-05-20|0|LE43U6O54S47DJ5147SP9CL3|2016-10-17 00:17:57|Fusce mollis. Duis sit amet diam eu dolor egestas rhoncus. Proin nisl sem, consequat nec, mollis|3|Finale|217|O|07:21:19|Sed et libero. Proin
Customer Service|Buffy|Hoover|2002-06-02|1|KR71F2N34K29CE9333HE3FD8|2016-10-03 20:30:02|scelerisque sed, sapien. Nunc pulvinar arcu et pede. Nunc|74|Macromedia|162|J|04:37:35|primis in
Advertising|Aileen|George|2007-04-21|0|WX74P5H87O40VE6024OO4MC5|2016-10-06 06:55:46|nonummy. Fusce fermentum fermentum|109|Lavasoft|85|U|12:30:19|nec, cursus a, enim.
Legal Department|Rhea|Foster|2002-11-08|1|JK67X1P75G03YE2334DA1LE0|2016-10-16 18:49:16|blandit mattis. Cras eget nisi|14|Chami|71|L|01:03:36|Proin
Customer Relations|Germane|Blair|2009-06-30|1|WU30G0H24C59FV5535KC5LG6|2016-10-07 13:57:18|pharetra. Nam ac nulla. In tincidunt congue turpis.|60|Finale|97|K|04:26:02|magna. Ut tincidunt orci quis
Customer Service|Bruce|Pittman|2015-07-10|1|HR27Q8G96F30CX2508LS4XT4|2016-10-15 18:18:08|quis|15|Macromedia|220|K|11:01:01|ipsum. Suspendisse
Research and Development|Ima|Johnston|2013-03-19|0|ZD68O8M29T03AA6540XJ1TF9|2016-10-18 15:30:13|Pellentesque|9|Borland|131|N|15:40:12|egestas nunc sed
Asset Management|Cameron|Burch|2004-09-19|1|TP40X7D61F16QT2782UV5BP1|2016-10-14 04:21:50|Morbi metus. Vivamus euismod urna.|116|Borland|163|G|22:23:55|Nunc mauris. Morbi
Customer Service|Macey|Brock|2009-05-07|0|YJ67P0I01B63MY3191YS7JO0|2016-10-06 09:51:21|tempus non, lacinia at, iaculis quis, pede. Praesent eu dui. Cum sociis natoque penatibus et|92|Finale|105|J|16:43:34|lectus sit amet luctus
Finances|Kerry|Hensley|2012-02-24|0|AQ21Q9J96S30JH3335LH5IQ0|2016-10-06 20:58:28|justo nec ante. Maecenas|27|Yahoo|181|F|15:10:31|odio semper cursus. Integer
Asset Management|Alvin|Calderon|2011-08-18|1|YP10G0E28Y90RB5743KI3PN1|2016-10-09 06:22:01|purus. Nullam scelerisque neque sed sem egestas blandit. Nam nulla magna, malesuada vel,|118|Altavista|0|A|09:52:36|Nunc commodo
Tech Support|Hilda|Cantu|2014-04-21|0|NZ88W6F96K96QQ7302MZ1ZK5|2016-10-12 15:58:56|bibendum fermentum metus. Aenean sed pede nec ante blandit viverra.|117|Macromedia|10|R|18:50:07|vestibulum
Payroll|Amela|Kerr|2002-02-07|0|IC34O1D18M24NX7391JN5PA2|2016-10-07 06:10:05|interdum enim non nisi. Aenean eget metus.|108|Borland|123|H|16:49:48|urna
Public Relations|Madeson|Stanton|2004-03-26|1|AI17E9R10J62NR4496NR2DZ9|2016-10-16 06:18:07|et|100|Apple Systems|29|V|09:39:15|elit pede, malesuada vel, venenatis
Research and Development|Haley|Bray|2003-08-30|0|UL13N2X33L42HB7611OS2UL4|2016-10-17 13:00:30|mauris eu elit. Nulla facilisi. Sed neque. Sed eget lacus. Mauris non dui nec urna|31|Apple Systems|21|Z|13:16:10|Vivamus
Tech Support|Adele|Cameron|2005-12-03|0|CN83H1W97S07VK7639OX7VG1|2016-10-03 15:15:02|Cum sociis natoque penatibus et magnis dis parturient|101|Apple Systems|148|P|12:28:21|neque vitae semper egestas, urna
Advertising|Connor|Maldonado|2015-03-09|1|SE20E9P04V60TA0403AQ6KB1|2016-10-04 10:45:09|fringilla, porttitor vulputate, posuere vulputate, lacus. Cras interdum. Nunc sollicitudin commodo ipsum. Suspendisse non leo.|25|Yahoo|92|S|14:26:31|sit amet ante. Vivamus
Finances|Wylie|Long|2009-07-20|1|ZK62J7M88E25YJ3790VO4PP8|2016-10-06 16:56:40|ac mattis semper, dui lectus rutrum urna, nec|38|Chami|94|R|12:17:02|massa.
Research and Development|Iola|Brennan|2006-03-07|1|TN17F6M40C77HB8708IX4HI5|2016-10-20 07:50:45|dictum placerat, augue.|33|Sibelius|180|G|06:52:42|imperdiet nec, leo. Morbi
Sales and Marketing|Pamela|Mccullough|2005-10-26|1|XA81E8B73B55VM8422YH5VQ2|2016-10-11 17:13:44|nunc est, mollis non, cursus|19|Macromedia|253|F|16:42:32|ultrices, mauris ipsum porta
Human Resources|Hanna|Reid|2010-11-25|0|JM12J0Y37Z30QD7146ZR8KT6|2016-10-05 00:23:11|magna. Sed eu eros. Nam consequat dolor vitae dolor. Donec fringilla. Donec feugiat metus sit amet|81|Lycos|255|U|22:28:56|natoque penatibus
Legal Department|Wendy|Golden|2008-03-18|1|DF65H8Z22G20NY0473BP3MV0|2016-10-03 01:07:19|ac urna. Ut tincidunt vehicula risus. Nulla eget metus|139|Sibelius|213|J|11:31:15|consectetuer rhoncus. Nullam velit
Tech Support|Yoshi|Knight|2003-05-03|1|YQ25G0Y81Q64LA8288JT5VD0|2016-10-02 19:04:13|magna. Cras convallis convallis dolor. Quisque tincidunt|91|Apple Systems|3|O|14:52:52|tempor bibendum. Donec
Legal Department|Blaine|Gay|2001-11-01|1|SG25S2L01L06YO2226KF8EC1|2016-10-06 11:14:36|pede. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Proin vel arcu|77|Yahoo|160|Z|22:58:22|malesuada malesuada. Integer
Finances|Quin|Saunders|2002-07-24|1|TZ80S6Q85J55TB1488VA8CJ9|2016-10-03 05:08:39|a tortor. Nunc commodo auctor velit. Aliquam nisl. Nulla|45|Lavasoft|57|E|08:55:00|elit.
Advertising|Gillian|Mcgowan|2004-08-10|0|PU27B0O97Z19AE1152EW3BF7|2016-10-17 03:53:50|pellentesque. Sed dictum. Proin eget odio. Aliquam vulputate ullamcorper magna. Sed eu eros. Nam|137|Adobe|95|M|19:23:10|egestas
Media Relations|Kimberly|Talley|2016-05-10|0|RZ31U7Q10W55BX1343XE4UY7|2016-10-04 20:45:46|libero. Proin sed turpis nec mauris blandit|33|Sibelius|103|N|04:10:40|Cras eu tellus eu
Media Relations|Tasha|Mcneil|2007-06-16|1|XK92H7K87P22HR6155KG5DT5|2016-10-16 06:08:59|dignissim magna a tortor. Nunc commodo auctor velit. Aliquam nisl. Nulla|6|Chami|198|K|23:43:55|Phasellus dapibus quam quis diam.
Payroll|Quemby|Sims|2013-09-10|1|ZI91D3A35R09OE9135IZ3AS9|2016-10-03 16:41:45|non nisi. Aenean eget metus.|36|Finale|168|Z|16:34:01|ante ipsum
Media Relations|Lucian|Bullock|2013-07-09|1|DY96Y5N94W54EU5410HX5NQ7|2016-10-19 03:11:32|Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Aenean|146|Adobe|117|M|23:26:51|erat,
Quality Assurance|Simone|Trevino|2007-02-04|0|QH03J0R99K34NA6201YK5EH5|2016-10-13 16:28:59|lectus ante dictum|31|Borland|226|C|10:31:46|eleifend. Cras sed
Accounting|Wayne|Mayer|2015-01-16|1|AZ11U9I26L17XP8120MT5KM4|2016-10-06 23:02:38|lobortis quam a felis ullamcorper viverra. Maecenas iaculis aliquet diam. Sed diam lorem, auctor|36|Macromedia|70|C|02:46:16|ac ipsum. Phasellus vitae mauris
Asset Management|Kirby|Robbins|2012-02-09|1|WD73Q3W42B73YY9728NA4YE5|2016-10-05 01:21:42|lorem semper auctor. Mauris vel turpis. Aliquam adipiscing lobortis risus. In mi pede,|8|Macromedia|240|V|05:41:32|ipsum. Curabitur
Asset Management|Oleg|Cole|2000-11-22|0|MV09V6T77T65CO3323OJ3EM6|2016-10-11 08:15:14|dis parturient montes, nascetur ridiculus mus. Proin|11|Lycos|248|H|19:29:31|augue scelerisque mollis. Phasellus
Customer Service|Dorothy|Faulkner|2009-03-28|1|BV78H6J53N46FN4195OY9HD8|2016-10-06 19:57:06|faucibus orci luctus et ultrices posuere cubilia Curae; Donec tincidunt. Donec|15|Cakewalk|206|M|00:03:46|adipiscing
Research and Development|Reuben|Sears|2005-05-30|0|QX62W1N11C96HY6916DX5HX6|2016-10-12 21:25:43|quis lectus. Nullam suscipit, est|76|Adobe|211|E|23:06:24|nec enim. Nunc
Customer Service|Byron|Boyd|2001-01-02|1|BC26I2K05I96XA8101AE2MP3|2016-10-06 16:46:20|parturient montes, nascetur ridiculus mus. Proin vel arcu eu odio tristique|14|Finale|228|Q|04:06:01|mollis dui, in sodales elit
Customer Service|Herman|Edwards|2012-12-28|1|SU12Y7A54I41IF7114BC2HN7|2016-10-09 09:42:47|lobortis tellus justo sit amet nulla. Donec non justo. Proin non massa non ante bibendum|77|Lycos|67|L|04:12:58|interdum
Customer Service|Laurel|Woods|2008-11-20|0|BS96Q4C55A89AK5713YY2IA5|2016-10-19 17:06:22|auctor, velit eget laoreet posuere, enim nisl elementum|83|Lavasoft|107|F|10:31:33|bibendum. Donec felis
Finances|April|Fields|2007-10-09|0|PX40F3B67O09ZN5973JW0YJ7|2016-10-02 05:50:26|eu arcu.|72|Yahoo|157|P|05:48:35|eu enim. Etiam
Asset Management|Rae|Ochoa|2013-08-20|0|UQ13Q0D75R31EX2240SL7FI7|2016-10-19 17:36:36|nunc sed pede. Cum sociis natoque penatibus et|16|Altavista|4|B|18:42:39|tempus eu, ligula. Aenean
Public Relations|Bertha|Nolan|2012-01-30|0|UO86U9P16C17UJ7781UB0QM3|2016-10-13 06:13:21|auctor quis, tristique ac,|137|Yahoo|153|F|11:32:25|dignissim. Maecenas ornare egestas
